title,plot,ratings,date,total_reviews
The One with Joey's Dirty Day,"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.",8.2,5 Feb. 1998,"-4,114"
The One with All the Rugby,"Chandler runs into Janice, and finds her more irritating than ever. Meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric switch.",8.5,26 Feb. 1998,"-4,300"
The One with the Fake Party,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,8.2,19 Mar. 1998,"-4,150"
The One with the Free Porn,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,8.6,26 Mar. 1998,"-4,300"
The One with Rachel's New Dress,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,8.2,2 Apr. 1998,"-4,074"
The One with All the Haste,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,8.7,9 Apr. 1998,"-4,291"
The One with All the Wedding Dresses,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.",8.5,16 Apr. 1998,"-4,215"
The One with the Invitation,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.",7.1,23 Apr. 1998,"-4,546"
The One with the Worst Best Man Ever,"at first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.",8.5,30 Apr. 1998,"-4,127"
The One with Ross's Wedding,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding.,8.7,07-May-98,"-4,520"
The One with Ross's Wedding: Part 2,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,9.2,07-May-98,"-5,632"
The One After Ross Says Rachel,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.",8.9,24 Sep. 1998,"-4,808"
The One with All the Kissing,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,9,1 Oct. 1998,"-4,945"
The One Hundredth,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.",8.8,8 Oct. 1998,"-4,510"
The One Where Phoebe Hates PBS,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,8.2,18 Oct. 1998,"-4,040"
The One with the Kips,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,8.7,29 Oct. 1998,"-4,349"
The One with the Yeti,The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.,8,5 Nov. 1998,"-4,030"
The One Where Ross Moves In,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,8.3,12 Nov. 1998,"-4,082"
The One with All the Thanksgivings,The gang remember and share with each other their worst Thanksgivings.,9.1,19 Nov. 1998,"-5,644"
